Company,MSE,MAE,R2,MAPE
CILO.TA,1829.445699,40.59159547,-8.916563166,962.9262412
CION.TA,73.62083356,2.483851954,-0.044853541,-24.6502642
CISY.TA,39571.02432,159.4857528,0.019338704,9.726403245
CLAB.TA,52469.82391,186.1732003,-0.063540052,18.55065705
CLIS.TA,21491.2447,77.51971008,0.963406304,1.137133226
CMCT.TA,836355.7117,739.2905115,-3.048977026,358.219875
CMDR.TA,15685833.79,1793.937651,0.136347737,5.476750544
CMER.TA,807847.0512,809.6939371,-4.071823386,47.4251047
CNGL.TA,8.619822363,1.420248039,-0.003091414,17.22805247
CNTC.TA,385320.9267,561.2414138,-18.14925394,4679.58803
CNTL-M.TA,70387.05886,247.8940256,-162.9732004,4340.658287
CNZN.TA,7489.20422,59.38295803,-0.667700338,2010.070477
CPIA.TA,0.114929923,0.330750163,-50.1077716,66.36772194
CPTP.TA,91.63845641,4.31539182,0.625243195,483.2533435
CRML.TA,12321.82478,86.95363186,0.594039736,4.888001505
CRMT.TA,66372.38466,118.9675015,0.336003981,729.1774057
CRSM.TA,70691.69467,139.7284412,0.20322571,6.441416246
CRSR.TA,74809.93097,194.4447873,0.673435739,6.41719992
CTPL1.TA,200589182,6208.513485,-0.237847558,22.56256949
CTPL5.TA,3175312787,34394.42775,-0.584638096,46.51581041
DANE.TA,304751.1946,438.5435241,0.971917812,1.341626953
DANH.TA,4692255.021,2025.158469,-6.812114317,96.71623681
DELG.TA,54818.41414,177.3706673,0.957678413,1.027229478
DIFI.TA,570952.366,541.8162222,0.963660439,1.092355249
DIMRI.TA,13500885.64,2788.832306,-0.344849792,8.637295898
DIPL.TA,44719.44416,108.0492519,0.794340851,2.826428979
DISI.TA,49.00165892,5.461001065,0.977982001,1.499308079
DLEA.TA,2983.294251,41.96187599,0.947294461,1.985428035
DLEKG.TA,308864.0527,426.7793555,0.963994805,1.029006095
DLTI.TA,179094.9541,280.9405042,0.805420105,4.551604837
DNA.TA,3.45710066,1.345144785,0.968736439,1.645698746
DNYA.TA,450460.4496,303.8156719,0.644000748,3.042784068
DORL.TA,1020.599238,26.16455989,0.977597004,2.437323476
DRAL.TA,57910.39674,101.6581026,0.813404429,1.212187128
DRSH.TA,7049.828432,50.62702226,0.352228894,3.747559724
DSCT.TA,28152.25927,80.76133273,0.433597505,3.554895608
DUNI.TA,1549788.288,652.7299621,0.778413544,2.711027626
ECNR.TA,7272.165481,64.90403474,0.95520952,3.761975244
ECP.TA,22971.17592,122.6916849,0.967825934,1.577573145
ECPA-M.TA,111.5699979,1.325907524,0.025632622,8.102940362
EFCP.TA,3.547539166,1.491783889,-1.68322027,11.96280738
EFNC-M.TA,0.107600793,0.189559209,-0.501376402,8.404354371
ELAL.TA,8581.912196,57.34644601,0.487840233,8.750704218
ELCO.TA,158436.059,285.98939,0.889306376,2.553741509
ELCP.TA,1163760.196,995.3805071,-23.62485028,49.85574216
ELCRE.TA,2324.351681,38.40728246,0.985883957,0.988026248
ELDAV-M.TA,0.230823546,0.423534713,-3.539774164,18.09295775
ELLO.TA,365505.3467,520.191866,-0.052624935,10.14970173
ELMR.TA,2457.489715,22.09154563,0.808243725,1.890075394
ELRN.TA,505.6219254,18.33953202,0.820360812,3.776472782
ELSPC.TA,12111.94003,67.29855473,-0.214314718,9.901254991
ELTR.TA,5721048.498,1820.786063,0.987440985,1.270317383
ELWS.TA,150966.9769,290.5917684,0.992277197,1.879324367
EMCO.TA,1933.43504,34.18032447,0.765399107,3.925066586
EMDV.TA,1273.480289,22.50032253,0.947493573,0.953352005
EMITF-M.TA,0.013601806,0.080121662,0.948952138,1.928656325
EMTC-M.TA,0.051983524,0.22416305,-16.59199824,115.2994239
ENDY.TA,93.95449252,7.934062188,0.933822194,2.940064737
ENLT.TA,65797.76541,195.287155,0.393380633,3.265785579
ENLV.TA,63461.27765,227.1971004,0.475268106,33.21080235
ENOG.TA,3429.579468,43.15070929,0.955529007,0.912922139
ENRG.TA,583.0576186,14.89483077,0.893953402,1.09614884
EPIT.TA,42657.74878,192.3646901,0.490338259,50.23191352
EQTL.TA,238217.9335,264.2599909,0.885738866,1.998066358
ESLT.TA,21149627.06,2278.100098,0.54939991,2.647076156
ETGA.TA,21669.88644,125.8832386,0.484715402,11.39541366
EVGN.TA,633164.8732,546.8731174,0.280082439,63.8470464
EXPO.TA,560991.4184,379.5622577,-0.140664689,6.692806079
