Company,MSE,MAE,R2,MAPE
ISRS.TA,1120583.214,846.629401,0.846413116,1.191472167
ISTA.TA,24792.32443,121.3237975,0.955879193,1.785367169
JBNK.TA,227.140724,10.66618216,0.896786285,0.853834129
JCFN.TA,951.0086149,22.20306754,0.969315394,1.355437988
JNGO.TA,254.7553698,7.957785106,0.828191589,2.42893106
KAFR.TA,1017.691991,21.50882827,0.992509504,1.116077119
KARE.TA,47.4099445,5.369247268,0.953630129,1.272758838
KDST.TA,1003.024043,15.66121187,0.889206627,2.505515281
KEN.TA,24700.6275,118.3212332,0.973530254,1.385242322
KLIL.TA,99987.65432,228.0246914,0.834578778,1.166590361
KMDA.TA,1155.787879,24.72727273,0.826622463,1.225957932
KNFM.TA,338.9164969,12.53783985,0.979558012,1.280749994
KRDI.TA,7.717763795,1.873058721,0.946029351,0.857337397
KRUR.TA,6986.095243,58.48273109,0.832588361,0.89747206
KSTN.TA,34.00430096,4.441265476,0.943253006,0.881079981
LAHAV.TA,36.42699419,4.475926956,0.933523873,1.30099975
LBRA.TA,122.5409554,7.453978132,0.986622884,1.525089183
LCTX.TA,273.3465966,11.86260504,0.896315753,2.995236406
LEOF.TA,62.0144163,5.31384104,0.934657093,2.057517423
LEVI.TA,264721.5871,365.5742965,0.955078828,1.336709605
LHIS.TA,2274.222392,25.66428955,0.854288371,1.172312881
LODZ.TA,594.2941176,7.974789916,0.97553368,0.344076765
LPHL.TA,2.971147562,0.933544301,0.912872187,0.826812041
LPSN.TA,1720.164191,24.26834205,0.988636092,4.461423307
LSCO.TA,42.42249218,4.171576661,0.943140549,1.419783497
LUDN.TA,537.4902161,15.10568819,0.984603975,1.022373598
LUMI.TA,2078.089649,37.37128631,0.980122857,1.248026743
LURO.TA,243.141629,13.11565459,-2.001748506,0.638307977
LUZN.TA,6.901541062,1.997056935,0.993477613,1.055337861
LVPR.TA,11404.58867,77.84488043,0.956914862,1.264554659
MAXO.TA,195.2814462,10.24885517,0.985038677,1.193067299
MCLL.TA,100.1269361,6.871425,0.980061564,1.203228668
MCMN.TA,47136.72123,125.7561206,0.944404261,0.771218966
MCRNT.TA,13.59240284,2.223224961,0.760718425,1.264703025
MDIN.TA,26.8243678,3.187454505,0.959772541,1.635850893
MDPR.TA,99.09114503,6.889726609,0.963167678,1.305228915
MDTR.TA,193.7755686,11.08110336,0.944269134,1.363510882
MEDN.TA,56240.33613,159.4957983,0.951576077,1.060584601
MERARA PARTICIPATION UNIT.TA,18.46522926,1.668391834,0.944396324,0.606462166
MGDL.TA,71.1833419,6.599441629,0.956664052,1.450806448
MGIC.TA,6570.130819,61.95314054,0.946460952,1.584444681
MGOR.TA,37070.208,150.5686975,0.944832545,1.726686071
MGRT.TA,102.0453368,6.929918513,0.924676346,1.729124506
MIA.TA,2.010554064,0.986292944,0.943799914,2.930556512
MIFT.TA,74.20943128,5.697156398,0.969163489,2.216905616
MISH.TA,53697.49117,154.8422269,0.992494207,1.167054692
