Ticker,MSE,MAE,MAPE,R2
ABRA.TA,110.0753552,8.812781977,0.032568822,0.721305395
ACCL.TA,10.9167793,2.528222247,0.020894548,0.958359987
ACKR.TA,13163.81017,80.98752039,0.115320955,-0.010435741
ACRO.TA,38396.40716,136.4125446,0.028128903,0.859540066
ADGR.TA,685.7004284,21.17907243,0.044880274,0.638218786
ARDM.TA,24.55628699,3.639893478,0.06500193,0.936238898
AFHL.TA,210204.8755,354.0197297,0.034339805,0.957399194
AFPR.TA,340471.4719,446.3232184,0.026975352,-0.483882809
AFRE.TA,9051312.003,2121.626937,0.080840085,-0.583628986
AICS-M.TA,99114.03607,167.4349262,1.056016506,-0.344247731
ARPT.TA,37454.755,163.6579332,0.028827055,0.509771922
ARTS.TA,1188.743042,27.66672021,0.731459495,-26.85838981
ALAR.TA,46523.0302,151.8474014,0.219063455,0.59380295
ALBA.TA,19276.02281,108.8250633,0.068996524,0.649429401
ALMD.TA,2.788447673,1.343221447,0.037080555,0.659516662
ALLT.TA,22489.67839,102.4761323,0.076786146,0.690753145
ALMY.TA,96246.76584,253.4777982,11.6873652,0.58156331
ALMA.TA,18039.84762,89.82202555,0.094311047,-0.075811518
ALHE.TA,50756.05746,141.5262084,0.049220617,-0.040678388
ALRPR.TA,1269313.247,932.1777423,0.063940639,0.571124077
ALUMA.TA,112.9112692,8.087857457,0.208655733,-4.210221313
AMAN.TA,1337.561416,29.16668354,0.018891586,0.318571662
AMD.TA,20921.25183,101.6794195,0.1110401,-38.8335269
AMRK.TA,12233.74844,88.58214439,0.033296454,0.756136352
ABRA.TA,84.71392098,7.61053963,0.027954152,0.785516815
ACCL.TA,8.745045802,1.766280446,0.015539042,0.966643658
ACKR.TA,13708.67445,78.1564116,0.108354606,-0.052258765
ACRO.TA,52123.8448,176.0712784,0.034937496,0.809322998
ADGR.TA,383.0488758,16.91566182,0.036147315,0.797900247
ARDM.TA,26.11244438,4.036909367,0.079096549,0.932198291
AFHL.TA,252649.6743,369.5913046,0.034497276,0.948797193
AFPR.TA,454328.8244,561.325624,0.033464521,-0.980109313
AFRE.TA,7992455.914,2010.125032,0.076575288,-0.398370187
AICS-M.TA,98902.52001,167.1641632,0.81154286,-0.341379015
ARPT.TA,58831.25414,204.3849681,0.035820725,0.229984747
ARTS.TA,345.1792779,13.20058206,0.375989306,-7.089333474
ALAR.TA,47575.34671,177.0058663,0.299723498,0.584615073
ALBA.TA,9421.479661,78.31675757,0.050611732,0.828652736
ALMD.TA,1.433985641,0.85460669,0.023377581,0.824903217
ALLT.TA,44793.1022,196.3273241,0.15747785,0.384067404
ALMY.TA,89527.77969,220.822665,10.91456835,0.610774372
ALMA.TA,16795.19059,85.46139476,0.089244466,-0.001586037
ALHE.TA,68370.89755,201.3292881,0.069564375,-0.401844805
ALRPR.TA,788452.0825,719.9057181,0.051630501,0.733597585
ALUMA.TA,104.1570512,7.991555846,0.207491758,-3.806263288
AMAN.TA,1168.781362,26.3888525,0.016934065,0.404557629
AMD.TA,13279.08434,72.22866896,0.079064637,-24.283036
AMRK.TA,6351.151009,62.95576092,0.02395677,0.873398177
AMOT.TA,2739.191521,40.97702399,0.024185146,0.937716441
ANGL.TA,27595.74038,126.4840018,0.038054272,0.724861311
APLP.TA,30899.99732,127.007374,0.297597514,-1.777985328
AQUA.TA,143052.9855,239.1435087,1.74216056,-241.5277497
ARD.TA,6746.195026,67.50655011,0.013478229,0.873906198
ARAD.TA,150621387.1,8792.289682,0.885754786,-24.11370924
ARAN.TA,6084.736334,65.61122888,0.034278419,-0.477592896
ARBE.TA,3760.604564,48.61610514,0.076145796,-25.37690826
ARGO.TA,420745.9795,550.5681509,0.0593267,-0.816901342
ARIN.TA,625.8836134,20.7695377,0.09613418,-4.532516743
ARYT.TA,45542.97488,179.8621481,0.314950296,-2.191438005
ARF.TA,1769157.106,859.4175692,0.15175191,-22.40536992
ASHO.TA,2014286.385,1227.21082,0.284790991,-2.585613681
ASHG.TA,128548.5211,277.1351904,0.048927527,0.73654116
ASGR.TA,438.787638,16.8170434,0.029633954,0.896157087
AUDC.TA,40538.88351,148.7056875,0.041729989,0.563889998
AUGN.TA,10233.45818,76.84245548,0.233649679,0.664009958
AURA.TA,155104.0886,339.6278582,0.191636369,-1.984183724
